model,file_name,caption
gemini,notumor_0002.jpg,"tumor: no; General description: Axial T2-weighted MRI showing the brain with prominent sulci and gyri, as well as orbital structures. No obvious abnormalities are seen."
gemini,notumor_0012.jpg,"tumor: no; general_description: Axial T2-weighted MRI scan shows normal brain anatomy, with visible ventricles, gyri, sulci and gray-white matter differentiation."
gemini,notumor_0035.jpg,"tumor: no; general_description: Axial FLAIR brain MRI showing the cerebral hemispheres, ventricles, and sulci. No obvious mass or abnormal signal intensity is noted."
gemini,notumor_0069.jpg,"tumor: no; general_description: Coronal T2-weighted MRI of the brain showing normal anatomy, ventricles, brainstem, and cerebral hemispheres."
gemini,notumor_0076.jpg,"tumor: no; general_description: Sagittal view of a brain MRI showing normal anatomical structures including the cerebellum, brainstem, and cerebral cortex. No evident abnormalities."
gemini,notumor_0095.jpg,"tumor: no; general_description: Sagittal T1-weighted MRI of the brain showing normal brain structures, including the cerebrum, cerebellum, and brainstem. No abnormal findings are seen."
gemini,notumor_0102.jpg,"tumor: no; general_description: Axial T2-weighted MRI image of the brain showing normal anatomical structures and no gross abnormalities."
gemini,notumor_0111.jpg,"tumor: no; general_description: Axial T2-weighted MRI of the brain showing normal anatomy, including the ventricles, cortex, white matter, and basal ganglia. No obvious abnormal masses or lesions are apparent."
gemini,notumor_0145.jpg,"tumor: no; general_description: Axial T2-weighted MRI of the brain showing normal brain anatomy without evidence of a tumor."
gemini,notumor_0182.jpg,"tumor: no; general_description: This is a sagittal T1-weighted MRI of the brain, showing normal brain structures like the cerebrum, cerebellum, and brainstem."
gemini,notumor_0191.jpg,"tumor: no; general_description: Axial FLAIR brain MRI showing diffuse white matter hyperintensities suggestive of small vessel disease or demyelination."
gemini,notumor_0236.jpg,"tumor: no; general_description: Axial T1-weighted MRI of the brain shows normal cerebral anatomy with grey and white matter differentiation. The ventricles appear normal in size and configuration. No obvious abnormalities are seen."
gemini,notumor_0268.jpg,"tumor: no; general_description: Axial T1-weighted brain MRI showing the cerebral hemispheres, basal ganglia, and ventricles, with normal-appearing gray and white matter."
gemini,notumor_0277.jpg,"tumor: no; general_description: Axial T2-weighted MRI of the brain demonstrating normal anatomical structures, with no evidence of mass lesions."
gemini,notumor_0287.jpg,"tumor: no; general_description: Axial FLAIR brain MRI showing periventricular white matter hyperintensities, likely representing small vessel ischemic changes."
gemini,notumor_0305.jpg,"tumor: no; general_description: Axial brain MRI showing normal anatomy of the cerebral hemispheres, ventricles, and sulci."
gemini,notumor_0322.jpg,"tumor: no; general_description: The brain MRI shows a coronal view of the head, displaying brain structures including the cerebellum, ventricles, and cerebral cortex. The image is grayscale."
gemini,notumor_0348.jpg,"tumor: no; general_description: Axial brain MRI showing normal brain anatomy, with visible white matter and gray matter structures. No significant abnormalities or lesions are apparent."
gemini,notumor_0360.jpg,"tumor: no; general_description: The axial brain MRI shows normal brain parenchyma, ventricles, and skull. No signs of mass effect, edema, or hemorrhage are evident."
gemini,notumor_0405.jpg,"tumor: no; general_description: Axial T2-weighted MRI of the brain shows normal brain parenchyma with visible gray and white matter, ventricles, and sulci. No obvious mass is identified."
gemini,glioma_0117.jpg,"tumor: yes; location: right frontal lobe; size: medium; irregular; heterogeneous; orientation: coronal; The brain MRI reveals a medium-sized, irregularly shaped mass with heterogeneous intensity in the right frontal lobe, indicative of a tumor."
gemini,glioma_0154.jpg,"tumor: yes; location: right frontal lobe; size: large; shape: irregular; intensity: hyperintense; orientation: axial; general description: Axial T1-weighted MRI demonstrates a large, irregular hyperintense mass in the right frontal lobe with surrounding edema. There is mass effect, indicating tumor."
gemini,glioma_0248.jpg,"tumor: yes; location: right frontal lobe; size: large; shape: irregular; intensity: heterogeneous; orientation: axial; general description: Brain MRI shows a large, heterogeneous lesion in the right frontal lobe. The lesion is irregular in shape and appears to be infiltrative. There is a mass effect."
gemini,glioma_0284.jpg,"tumor: no; general description: Axial T1-weighted contrast-enhanced brain MRI showing normal anatomy with no obvious abnormalities."
gemini,glioma_0294.jpg,"tumor: no; general description: Axial T1-weighted brain MRI post-contrast shows normal brain parenchyma and no evidence of any gross abnormalities or pathology."
gemini,meningioma_0118.jpg,"tumor: yes; location: frontal lobe; size: small; shape: round; intensity: high; orientation: coronal; general description: Coronal T1-weighted MRI of the brain shows a small, well-defined lesion in the frontal lobe."
gemini,meningioma_0138.jpg,"tumor: yes; location: right frontal lobe; size: medium; shape: round; intensity: high; orientation: coronal; general description: Brain MRI shows a well-defined lesion in right frontal lobe, suggesting a meningioma."
gemini,meningioma_0177.jpg,"tumor: yes; location: occipital lobe; size: medium; shape: round; intensity: hyperintense; orientation: axial; general description: Axial T1-weighted contrast-enhanced MRI of the brain demonstrating a well-defined, round, hyperintense lesion in the occipital lobe."
